name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
Arjun Bose,20,Female,Suburban,2021,Able to vote,Even before announcement of candidates,Party,INC,No response,Friends/neighbors,No response,Somewhat,No,Much worse,2,National Security,Yes,No,Yes,3,Improving infrastructure,Statement 1: Promotes development,Other,Skilled labor training is insufficient to meet industry demands.,Efforts on poverty alleviation show mixed results.,Digital India is one of his landmark achievements.
Arjun Bose,20,Female,Suburban,2022,Not able to vote,A day or two before voting,PM candidate,AAP,Really wanted to vote,Family member,Did not have necessary documents,No response,No,Better,5,Economy,Not sure,Yes,Don't know,3,No response,Statement 1: Promotes development,Arvind Kejriwal,Unemployment among the youth is alarming.,"Economic growth is visible, but inflation persists.",Modi's charisma has inspired millions across the nation.
Arjun Bose,20,Female,Suburban,2023,Able to vote,During the campaign,No response,BSP,No good alternative,Don't know,No response,Somewhat,No,Worse,5,Healthcare,Not sure,Yes,Yes,1,Improving infrastructure,Statement 2: Important for the same party to remain,Rahul Gandhi,The disparity in healthcare costs is concerning.,Efforts on poverty alleviation show mixed results.,He has a strong focus on national security.
Arjun Bose,20,Female,Suburban,2024,Not able to vote,On the day of voting,Party,BSP,Really wanted to vote,Local political leader,Did not feel like voting,No response,Don't know,Remained same,5,Education,Not sure,Yes,No,5,Improving infrastructure,No response,Arvind Kejriwal,Digital literacy is critical for inclusive growth.,Healthcare schemes are ambitious but lack execution.,He has a polarizing effect on the electorate.
Arjun Bose,20,Female,Suburban,2025,Able to vote,During the campaign,PM candidate,BJP,No good alternative,"No one, I voted on my own",No response,Great deal,Did not respond,Worse,4,National Security,Not sure,Yes,Yes,2,Global image,Statement 2: Important for the same party to remain,Narendra Modi,The lack of job security in the gig economy is troubling.,"Defense upgrades are a good move, but expensive.",His policies have been harsh on small businesses.
Anjali Malhotra,51,Non-binary,Suburban,2020,Able to vote,Even before announcement of candidates,PM candidate,INC,Really wanted to vote,Local political leader,No response,Great deal,Don't know,Worse,5,Education,Yes,Yes,Yes,1,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi,Access to quality education is a significant concern.,Environmental conservation is not getting due priority.,He has a strong focus on national security.
Anjali Malhotra,51,Non-binary,Suburban,2021,Able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Family member,No response,No response,Did not respond,Remained same,4,Education,No,No,Yes,2,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi,Judicial delays are denying timely justice.,Environmental conservation is not getting due priority.,Modi's charisma has inspired millions across the nation.
Anjali Malhotra,51,Non-binary,Suburban,2022,Able to vote,No response,Party,BSP,No good alternative,Local political leader,No response,Not at all,Yes,Much worse,4,Economy,Yes,Yes,No,4,No response,No response,Other,Access to quality education is a significant concern.,The infrastructure development has been remarkable.,His communication skills are his strongest asset.
Anjali Malhotra,51,Non-binary,Suburban,2023,Not able to vote,On the day of voting,Candidate,BSP,No good alternative,"No one, I voted on my own",No response,No response,Don't know,Much worse,5,Other,Not sure,No,Don't know,3,Improving infrastructure,No response,Rahul Gandhi,Digital literacy is critical for inclusive growth.,Healthcare schemes are ambitious but lack execution.,The Make in India initiative is gaining traction.
Anjali Malhotra,51,Non-binary,Suburban,2024,Able to vote,On the day of voting,Candidate,Not sure,Really wanted to vote,"No one, I voted on my own",No response,No response,Don't know,Worse,3,Education,No,Yes,Yes,3,Improving infrastructure,No response,Rahul Gandhi,Tax reforms should be simplified for small businesses.,Technology integration in governance is appreciated.,Agricultural reforms under him are controversial but necessary.
Anjali Malhotra,51,Non-binary,Suburban,2025,Able to vote,During the campaign,No response,AAP,No response,Caste/community leader,No response,Not at all,No,Better,4,Education,Not sure,Yes,No,2,Employment opportunities,Statement 1: Promotes development,Arvind Kejriwal,Environmental degradation is becoming a crisis.,Support for startups has been promising.,Economic policies under him are bold but risky.
Aditi khan,44,Female,Suburban,2020,Not able to vote,During the campaign,PM candidate,INC,Really wanted to vote,Friends/neighbors,Was ill,Not at all,No,Much better,5,National Security,Not sure,No,No,2,No response,No response,Arvind Kejriwal,Accessibility for the differently-abled is often ignored.,Budget allocations favor the wealthy over the poor.,Modi has brought India global recognition like never before.
Aditi khan,44,Female,Suburban,2021,Not able to vote,No response,No response,BJP,Really wanted to vote,Don't know,Did not feel like voting,Somewhat,Did not respond,No response,2,Other,No,Yes,Don't know,4,Modi's leadership,No response,Narendra Modi,Digital literacy is critical for inclusive growth.,Ease of doing business has improved visibly.,Modi has brought India global recognition like never before.
Aditi khan,44,Female,Suburban,2022,Able to vote,A day or two before voting,PM candidate,INC,No good alternative,Religious leader,No response,Great deal,Yes,Remained same,1,National Security,Not sure,Yes,Yes,4,Modi's leadership,Statement 1: Promotes development,No response,Public housing availability is still very low.,Policy implementation varies significantly by state.,Modi's charisma has inspired millions across the nation.
Aditi khan,44,Female,Suburban,2023,Not able to vote,After announcement of candidates,No response,AAP,Really wanted to vote,Friends/neighbors,Other,Great deal,No,Better,1,National Security,Not sure,Yes,No,3,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal,Judicial delays are denying timely justice.,The infrastructure development has been remarkable.,There is a clear gap between his vision and execution.
Aditi khan,44,Female,Suburban,2024,Not able to vote,No response,PM candidate,BJP,No response,Family member,Was ill,Not at all,No,Much worse,4,Economy,No,No,Yes,5,Global image,No response,Narendra Modi,Rising inflation is affecting middle-class families heavily.,Healthcare schemes are ambitious but lack execution.,His communication skills are his strongest asset.
Aditi khan,44,Female,Suburban,2025,Not able to vote,A day or two before voting,Candidate,BSP,No good alternative,Other,Did not have necessary documents,Not at all,Did not respond,Worse,3,Economy,Not sure,Yes,No,3,Employment opportunities,No response,Priyanka Gandhi,Agriculture reforms are needed for farmer sustainability.,Public transport systems have improved drastically.,Economic policies under him are bold but risky.
Kunal Singh,24,Non-binary,Urban,2020,Not able to vote,On the day of voting,No response,Not sure,Really wanted to vote,Friends/neighbors,Was not in village/city,No response,No,No response,3,Education,No,No,No,2,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal,Transportation infrastructure needs massive upgrades.,Public transport systems have improved drastically.,Digital India is one of his landmark achievements.
Kunal Singh,24,Non-binary,Urban,2021,Not able to vote,A day or two before voting,No response,BJP,No response,"No one, I voted on my own",Did not have necessary documents,Somewhat,Did not respond,No response,2,National Security,Yes,No,No,3,No response,No response,Narendra Modi,Healthcare in rural areas is inadequate.,Education initiatives are underfunded and overlooked.,Digital India is one of his landmark achievements.
Kunal Singh,24,Non-binary,Urban,2022,Able to vote,On the day of voting,No response,AAP,No good alternative,Other,No response,Not at all,Don't know,Remained same,3,Economy,No,No,No,2,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal,The divide between urban and rural areas is widening.,Budget allocations favor the wealthy over the poor.,Social welfare programs have expanded under his tenure.
Kunal Singh,24,Non-binary,Urban,2023,Able to vote,Even before announcement of candidates,Party,BSP,No good alternative,"No one, I voted on my own",No response,No response,Yes,Worse,5,Other,Yes,No,Don't know,3,Reducing poverty,Statement 1: Promotes development,No response,Agriculture reforms are needed for farmer sustainability.,Ease of doing business has improved visibly.,His policies have been harsh on small businesses.
Kunal Singh,24,Non-binary,Urban,2024,Not able to vote,On the day of voting,Candidate,BJP,No good alternative,Don't know,Other,Not at all,Yes,Worse,2,National Security,Not sure,Yes,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi,Digital literacy is critical for inclusive growth.,Budget allocations favor the wealthy over the poor.,The handling of economic crises is his weak point.
Kunal Singh,24,Non-binary,Urban,2025,Not able to vote,After announcement of candidates,PM candidate,BSP,Really wanted to vote,Friends/neighbors,Did not feel like voting,Not at all,Yes,Much better,2,National Security,Not sure,No,Don't know,2,Global image,Statement 1: Promotes development,Priyanka Gandhi,Unemployment among the youth is alarming.,Employment generation has not kept up with promises.,There is a clear gap between his vision and execution.
Arjun Das,50,Non-binary,Urban,2020,Not able to vote,Even before announcement of candidates,No response,AAP,No response,"No one, I voted on my own",Other,No response,Don't know,No response,2,Other,Not sure,No,Don't know,1,Employment opportunities,No response,Arvind Kejriwal,The divide between urban and rural areas is widening.,The crackdown on black money is partially effective.,The Make in India initiative is gaining traction.
Arjun Das,50,Non-binary,Urban,2021,Able to vote,After announcement of candidates,Party,INC,No response,Caste/community leader,No response,Great deal,No,Much worse,4,Healthcare,Not sure,No,Yes,2,Other,Statement 1: Promotes development,Narendra Modi,Poverty alleviation programs are not reaching the grassroots.,Support for startups has been promising.,The focus on infrastructure is highly appreciated.
Arjun Das,50,Non-binary,Urban,2022,Not able to vote,During the campaign,Candidate,INC,No response,Friends/neighbors,No response,Great deal,Yes,Worse,4,Economy,Yes,Yes,Don't know,3,Reducing poverty,Statement 1: Promotes development,Narendra Modi,Women safety and empowerment need more focus.,Environmental conservation is not getting due priority.,He has a strong focus on national security.
