name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?
sushant Nair,39,Non-binary,Suburban,2025,Able to vote,On the day of voting,Candidate,AAP,Really wanted to vote,Don't know,Did not feel like voting,Somewhat,Don't know,Much better,1,Economy,No,No,Don't know,2,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi
Siddharth Patel,22,Female,Suburban,2020,Not able to vote,After announcement of candidates,No response,AAP,Really wanted to vote,"No one, I voted on my own",Did not have necessary documents,Somewhat,No,Better,1,Economy,No,No,Don't know,5,Reducing poverty,No response,Other
Siddharth Patel,22,Female,Suburban,2021,Able to vote,On the day of voting,PM candidate,INC,Really wanted to vote,Local political leader,Other,Great deal,Did not respond,Much worse,2,Other,Not sure,Yes,Don't know,5,Global image,Statement 2: Important for the same party to remain,Other
Siddharth Patel,22,Female,Suburban,2022,Not able to vote,A day or two before voting,No response,BSP,Really wanted to vote,Religious leader,Other,Somewhat,Did not respond,No response,4,National Security,No,No,Don't know,5,Other,No response,Rahul Gandhi
Siddharth Patel,22,Female,Suburban,2023,Not able to vote,A day or two before voting,No response,BJP,No response,Family member,No response,Somewhat,Did not respond,Remained same,2,Other,No,No,Yes,4,Employment opportunities,No response,Rahul Gandhi
Siddharth Patel,22,Female,Suburban,2024,Not able to vote,During the campaign,Candidate,INC,No response,Caste/community leader,Did not feel like voting,No response,Did not respond,No response,2,Education,Yes,Yes,No,3,Other,No response,Narendra Modi
Siddharth Patel,22,Female,Suburban,2025,Able to vote,On the day of voting,Party,Not sure,No response,"No one, I voted on my own",Other,Not at all,Yes,Much worse,4,National Security,No,Yes,Yes,2,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Anjali Das,18,Male,Urban,2020,Not able to vote,Even before announcement of candidates,PM candidate,INC,No response,"No one, I voted on my own",Did not feel like voting,Somewhat,Yes,No response,1,Other,Yes,Yes,Yes,2,Global image,Statement 1: Promotes development,Arvind Kejriwal
Anjali Das,18,Male,Urban,2021,Not able to vote,No response,Candidate,BSP,No response,Caste/community leader,No response,Not at all,Did not respond,Much worse,1,National Security,Yes,Yes,Don't know,3,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi
Anjali Das,18,Male,Urban,2022,Able to vote,During the campaign,No response,Not sure,Really wanted to vote,Family member,Was not in village/city,Somewhat,Don't know,Better,3,Healthcare,Not sure,Yes,Yes,4,Other,Statement 2: Important for the same party to remain,Other
Anjali Das,18,Male,Urban,2023,Able to vote,Even before announcement of candidates,No response,BSP,Really wanted to vote,Caste/community leader,Did not have necessary documents,Great deal,Did not respond,Worse,4,Other,Not sure,No,No,5,Reducing poverty,Statement 2: Important for the same party to remain,No response
Anjali Das,18,Male,Urban,2024,Not able to vote,A day or two before voting,Candidate,INC,No response,Don't know,Was not in village/city,Great deal,Don't know,Better,2,National Security,Yes,No,Don't know,4,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi
Anjali Das,18,Male,Urban,2025,Able to vote,After announcement of candidates,PM candidate,Not sure,No response,Don't know,Was not in village/city,Somewhat,Did not respond,Much better,4,Economy,Yes,Yes,No,1,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi
sushil Singh,46,Female,Suburban,2020,Able to vote,A day or two before voting,Party,AAP,Really wanted to vote,Religious leader,Was not in village/city,Great deal,Yes,Much worse,5,Healthcare,Not sure,Yes,Don't know,2,No response,No response,Priyanka Gandhi
sushil Singh,46,Female,Suburban,2021,Not able to vote,On the day of voting,Party,AAP,No response,Caste/community leader,Did not feel like voting,No response,Don't know,Much better,1,Healthcare,Not sure,Yes,Yes,1,Reducing poverty,Statement 2: Important for the same party to remain,No response
sushil Singh,46,Female,Suburban,2022,Able to vote,A day or two before voting,Candidate,BJP,Really wanted to vote,"No one, I voted on my own",Did not feel like voting,No response,Yes,Worse,4,Economy,No,No,No,4,No response,No response,Arvind Kejriwal
sushil Singh,46,Female,Suburban,2023,Able to vote,After announcement of candidates,Candidate,INC,No response,Other,Was not in village/city,Somewhat,Did not respond,Much worse,3,Education,Yes,No,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi
sushil Singh,46,Female,Suburban,2024,Not able to vote,On the day of voting,No response,Not sure,Really wanted to vote,Local political leader,Did not have necessary documents,Great deal,No,Remained same,5,Healthcare,No,Yes,Don't know,5,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
sushil Singh,46,Female,Suburban,2025,Not able to vote,After announcement of candidates,No response,AAP,Really wanted to vote,"No one, I voted on my own",Other,Not at all,No,Worse,4,Education,No,Yes,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,No response
Pooja Singh,28,Male,Rural,2020,Able to vote,No response,Candidate,INC,No response,Caste/community leader,Did not have necessary documents,Not at all,Don't know,No response,2,National Security,Yes,No,Yes,4,Other,Statement 1: Promotes development,No response
Pooja Singh,28,Male,Rural,2021,Able to vote,No response,Party,Not sure,Really wanted to vote,"No one, I voted on my own",Did not have necessary documents,No response,Don't know,Better,2,National Security,No,No,Yes,1,Employment opportunities,Statement 1: Promotes development,Priyanka Gandhi
Pooja Singh,28,Male,Rural,2022,Not able to vote,Even before announcement of candidates,Candidate,BSP,Really wanted to vote,Caste/community leader,Did not feel like voting,Somewhat,Yes,Much better,1,National Security,Not sure,No,Don't know,5,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
Pooja Singh,28,Male,Rural,2023,Not able to vote,Even before announcement of candidates,No response,BSP,Really wanted to vote,Local political leader,No response,Not at all,Did not respond,No response,3,Education,Yes,Yes,Yes,5,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
Pooja Singh,28,Male,Rural,2024,Not able to vote,During the campaign,No response,Not sure,No response,Don't know,Did not have necessary documents,Not at all,No,Remained same,2,Other,Not sure,Yes,Don't know,3,Other,No response,No response
Pooja Singh,28,Male,Rural,2025,Able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Other,Did not feel like voting,Not at all,Did not respond,No response,4,Education,No,No,No,1,Employment opportunities,No response,Rahul Gandhi
Amit Gupta,50,Non-binary,Rural,2020,Able to vote,During the campaign,Candidate,AAP,Really wanted to vote,Local political leader,Was not in village/city,Somewhat,No,No response,1,Education,Yes,No,No,4,Modi's leadership,Statement 1: Promotes development,No response
Amit Gupta,50,Non-binary,Rural,2021,Not able to vote,A day or two before voting,Party,BJP,No response,Other,Other,Great deal,Did not respond,No response,2,National Security,Yes,Yes,No,2,Modi's leadership,Statement 2: Important for the same party to remain,Other
Amit Gupta,50,Non-binary,Rural,2022,Not able to vote,Even before announcement of candidates,Candidate,Not sure,No good alternative,Caste/community leader,Did not have necessary documents,Great deal,Yes,Worse,1,Other,Not sure,Yes,Don't know,2,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Amit Gupta,50,Non-binary,Rural,2023,Not able to vote,No response,No response,INC,Really wanted to vote,Caste/community leader,Other,Somewhat,Yes,Much worse,5,Economy,Not sure,Yes,No,2,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi
Amit Gupta,50,Non-binary,Rural,2024,Able to vote,No response,PM candidate,INC,No response,Caste/community leader,Was ill,Not at all,No,No response,2,Education,Not sure,No,Don't know,2,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi
Amit Gupta,50,Non-binary,Rural,2025,Able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Other,Was ill,Great deal,Did not respond,Worse,5,National Security,Not sure,No,Don't know,3,Improving infrastructure,Statement 1: Promotes development,Other
Kabir Patil,49,Male,Rural,2020,Able to vote,After announcement of candidates,No response,BJP,No good alternative,Local political leader,Was not in village/city,Not at all,Did not respond,Much worse,1,National Security,No,No,Yes,1,No response,Statement 1: Promotes development,Priyanka Gandhi
Kabir Patil,49,Male,Rural,2021,Not able to vote,On the day of voting,Candidate,AAP,No good alternative,Family member,Did not have necessary documents,Not at all,No,Much worse,5,Education,No,No,Yes,1,Employment opportunities,Statement 1: Promotes development,Priyanka Gandhi
Kabir Patil,49,Male,Rural,2022,Not able to vote,No response,Party,Not sure,Really wanted to vote,"No one, I voted on my own",Did not have necessary documents,Great deal,Did not respond,Remained same,1,Education,Yes,No,Don't know,2,Modi's leadership,Statement 1: Promotes development,Narendra Modi
Kabir Patil,49,Male,Rural,2023,Able to vote,A day or two before voting,Candidate,INC,Really wanted to vote,Caste/community leader,Did not have necessary documents,Great deal,Did not respond,No response,3,Other,No,Yes,Yes,3,No response,Statement 2: Important for the same party to remain,Narendra Modi
Kabir Patil,49,Male,Rural,2024,Able to vote,Even before announcement of candidates,Party,BJP,No response,Religious leader,Was ill,Great deal,No,Much worse,1,Other,Not sure,Yes,No,1,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
Kabir Patil,49,Male,Rural,2025,Able to vote,No response,Party,AAP,Really wanted to vote,Caste/community leader,Other,Not at all,Yes,No response,1,National Security,Not sure,Yes,No,2,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi
Anjali Patel,34,Non-binary,Urban,2020,Not able to vote,A day or two before voting,Party,BJP,No good alternative,Caste/community leader,Did not have necessary documents,No response,Did not respond,No response,3,Economy,Yes,Yes,Don't know,3,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
Anjali Patel,34,Non-binary,Urban,2021,Able to vote,No response,PM candidate,BJP,No good alternative,Local political leader,Was not in village/city,Not at all,No,Much better,4,Economy,Yes,No,No,2,Global image,No response,Other
Anjali Patel,34,Non-binary,Urban,2022,Able to vote,During the campaign,Candidate,Not sure,No response,Friends/neighbors,Did not have necessary documents,Great deal,Did not respond,Worse,1,Economy,No,No,Yes,1,Global image,No response,Rahul Gandhi
Anjali Patel,34,Non-binary,Urban,2023,Not able to vote,A day or two before voting,Candidate,Not sure,Really wanted to vote,Family member,Did not have necessary documents,Great deal,Did not respond,No response,5,Other,Not sure,No,No,2,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
Anjali Patel,34,Non-binary,Urban,2024,Not able to vote,Even before announcement of candidates,No response,BSP,Really wanted to vote,"No one, I voted on my own",No response,Not at all,Yes,Better,5,Education,Not sure,No,Yes,3,Reducing poverty,No response,Narendra Modi
Anjali Patel,34,Non-binary,Urban,2025,Not able to vote,Even before announcement of candidates,Party,BSP,No response,Friends/neighbors,Was not in village/city,Great deal,Don't know,No response,4,Other,Yes,No,Yes,2,Modi's leadership,Statement 1: Promotes development,Other
Aryan Kumar,59,Non-binary,Suburban,2020,Able to vote,A day or two before voting,Candidate,Not sure,No response,Caste/community leader,Did not feel like voting,Not at all,No,Much better,2,Economy,Not sure,Yes,No,5,Improving infrastructure,Statement 2: Important for the same party to remain,Other
Aryan Kumar,59,Non-binary,Suburban,2021,Able to vote,On the day of voting,Party,INC,No good alternative,Other,Was not in village/city,Not at all,Don't know,Better,1,Healthcare,Yes,No,No,5,No response,No response,Other
Aryan Kumar,59,Non-binary,Suburban,2022,Not able to vote,On the day of voting,Candidate,INC,No response,Local political leader,Other,No response,Don't know,No response,5,Healthcare,No,Yes,No,1,Improving infrastructure,Statement 2: Important for the same party to remain,No response
Aryan Kumar,59,Non-binary,Suburban,2023,Not able to vote,No response,Candidate,BJP,No response,Other,Did not have necessary documents,Somewhat,Don't know,Much worse,5,Healthcare,Not sure,Yes,No,2,Reducing poverty,Statement 2: Important for the same party to remain,Priyanka Gandhi
Aryan Kumar,59,Non-binary,Suburban,2024,Able to vote,After announcement of candidates,Candidate,INC,No good alternative,Local political leader,Was not in village/city,Great deal,Yes,No response,1,Healthcare,Yes,No,No,4,Reducing poverty,Statement 1: Promotes development,No response
Aryan Kumar,59,Non-binary,Suburban,2025,Not able to vote,During the campaign,PM candidate,Not sure,No good alternative,"No one, I voted on my own",Was not in village/city,Great deal,Don't know,Much better,3,Other,Yes,No,Don't know,4,Employment opportunities,Statement 1: Promotes development,Other
Kavya Gupta,43,Female,Rural,2020,Not able to vote,After announcement of candidates,PM candidate,INC,No good alternative,Caste/community leader,Did not feel like voting,Somewhat,Yes,Better,5,Other,No,No,Don't know,1,Modi's leadership,No response,Other
Kavya Gupta,43,Female,Rural,2021,Able to vote,No response,Candidate,Not sure,No good alternative,Don't know,Other,No response,Don't know,No response,3,National Security,Yes,No,No,5,Other,Statement 1: Promotes development,Narendra Modi
Kavya Gupta,43,Female,Rural,2022,Able to vote,After announcement of candidates,Party,BSP,No response,Caste/community leader,Did not have necessary documents,Great deal,No,Worse,4,Economy,No,No,Don't know,2,Reducing poverty,Statement 1: Promotes development,Narendra Modi
Kavya Gupta,43,Female,Rural,2023,Able to vote,During the campaign,Candidate,AAP,No response,Friends/neighbors,Was not in village/city,No response,Don't know,Worse,4,Healthcare,Yes,Yes,No,4,Improving infrastructure,No response,Narendra Modi
